Sw	Meaning	Sys Cod	PIE ref. (*omitted)	Source	Assessmt.	Rus	Lit	oIs	Bkm	oIr	rIr	Itn	Lat	Alb	aGr	rGr	Arm	Hit	ToB	Ave	San	Hnd
9	all (of a no.)	1	wiƙ-wo ‘all’ <(h1)wiƙ/wo	P1175		все/ё	vìsa-			-	-									višpa-	viśva	
9	all (of a no.)	2	s)ol-y,wo- no, mostly ‘whole’	P24,979	-distr.: ‘all’ only Grm!)			allir	alle	uile	uile		(ultra)		(ὅλος)	όλος			(salu)	(haurva)	(sárva)	
9	all (of a no.)	3	teh₁- ‘schwellen’	P1080	Orphan							tutti	(totus)									
9	all (of a no.)	4	op-1 {n} < h₃ep-	P780	Orphan								omnēs									(sab)
9	all (of a no.)	5	sh₂ei- ‘bind together’ (?)	L544	Orphan									gjithë								
9	all (of a no.)	6	ƙew-a- ‘swollen’  >pehₐ-nt	P592-3 (auch Adams)	meaning shift; ToB debated										(ἅ)πας,  πάν-τες				po(ñc)			
9	all (of a no.)	7	bʰel-3, bʰol-	not (P120-)	Orphan												bolor					
9	all (of a no.)	8	no convincing, L < ?!	All sources	loan(?)													[ḫūmant]				
9	all (of a no.)	9	unknown; L < ?	NOT < sarva!	Orphan																	sārā
83	ash(es)	10	ā̆s(d/g(h))- < h₂é(h₁,₂)s-+g(h) ‘glow, ashes’	P68,9	?Name			aska	aske								(ačiun?)	ḫāss-			ā́sa	
83	ash(es)	11	ken-2.-nis ‘ashes’ < kh₂,₃en- ‘scrape’	P559-2. (~P917 ?)								ceneri	cinis		(κόνις ‘dust, ashes’)							
83	ash(es)	12	ĝel- ‘glänzen, helle Farben, glühen’	P430 ?	Orphan	золá													-			
83	ash(es)	13	polh₁-	P802;St899;ewS;Bi	Orphan	(пепел)	pelenaĩ															
83	ash(es)	14	lou(H)- < lewh2,3- ‘waschen’	P692 (687 ?)	Branch orphans					lúaith	lúaith											
83	ash(es)	15	s)k̑ih₁-n ‘shine’?	P917 ?	PAlb. sk̑ino-									hi(ri)								
83	ash(es)	16	dʰegʷʰ-	L133,P240-1	Orphan										τέφρα							
83	ash(es)	17	stag ‘t drop’ (nose)?	L592; 1010-1 ?	Orphan											στάχτη						
83	ash(es)	18	s)meukh- ‘smoke’	w Staro P971; Mrt. no entry; ewy nEty	Orphan												moxir					
83	ash(es)	19a	dʰou(hx)-ro; or L<Turk. tōŕ dust?	Adams96:311; or Bla11:App.1?	Orphan														AB taur  (L?)			
83	ash(es)	19b	āter- ‘Feuer, schwarz’	(P69)	Orphan															ātriiəm		
83	ash(es)	19c	रकषा (rakṣā) ‘damage’	MhII-423	Orphan																(bhásman)	rākh
27	bark (of tree)	20	s)ker-(t) ‘cut off, rind’	WP938-4.	?amb. (-Lu)	kora						corteccia	cortex									
27	bark	21	ĝ(e)I ‘burst’	Frae ~ (P355)			žievė															
27	bark	22	bʰer-ĝh- ‘bergen’ >Gefäße?	P145	Gmc barkuz			borkr	bark													
